SrcIP;DstIP;SrcPort;DstPort;SNI;OrgName;JA3hash;JA4hash;AppName;Type;JA3Shash;JA4Shash;Filename;Version
187.115.122.194;131.202.240.86;3307;443;;University of New Brunswick, UNB-IPNET;31b1a332b3418a06c61bf30d57a9e26f;t11i520400_80f1d282cb34_e190e6f68b9b;skype;0
187.115.122.194;131.202.240.86;26971;443;;University of New Brunswick, UNB-IPNET;31b1a332b3418a06c61bf30d57a9e26f;t11i520400_80f1d282cb34_e190e6f68b9b;skype;0
187.115.122.194;131.202.240.86;26960;443;;University of New Brunswick, UNB-IPNET;31b1a332b3418a06c61bf30d57a9e26f;t11i520400_80f1d282cb34_e190e6f68b9b;skype;0
131.202.240.87;96.16.196.150;11339;443;c.betrad.com;Akamai Technologies, Inc., AKAMAI-200710;feb5fef784808df9ee29e72563146ff5;t12d260700_e99a3d2b2b8b_c66d2ff098b4;skype;A;7b6819ed58e8d8415604b7dfcef92d55;t120100_0035_bc98f8e001b5;tests/iscx-vpn-novpn-2016/skype_chat1b-extracted.csv;0
131.202.240.87;96.16.196.150;11337;443;c.betrad.com;Akamai Technologies, Inc., AKAMAI-200710;feb5fef784808df9ee29e72563146ff5;t12d260700_e99a3d2b2b8b_c66d2ff098b4;skype;A;7b6819ed58e8d8415604b7dfcef92d55;t120100_0035_bc98f8e001b5;tests/iscx-vpn-novpn-2016/skype_chat1b-extracted.csv;0
131.202.240.87;96.16.196.150;11319;443;c.betrad.com;Akamai Technologies, Inc., AKAMAI-200710;feb5fef784808df9ee29e72563146ff5;t12d260700_e99a3d2b2b8b_c66d2ff098b4;skype;A;7b6819ed58e8d8415604b7dfcef92d55;t120100_0035_bc98f8e001b5;tests/iscx-vpn-novpn-2016/skype_chat1b-extracted.csv;0
131.202.240.87;96.16.196.150;11299;443;c.betrad.com;Akamai Technologies, Inc., AKAMAI-200710;feb5fef784808df9ee29e72563146ff5;t12d260700_e99a3d2b2b8b_c66d2ff098b4;skype;A;1a1694e1fbb28471f66676e1623a7e2b;t120300_0035_2412b79bd618;tests/iscx-vpn-novpn-2016/skype_chat1b-extracted.csv;0
131.202.240.87;91.190.218.17;11453;443;api.skype.com;Skype Noc, SKYPE-DU5 (ie);feb5fef784808df9ee29e72563146ff5;t12d260700_e99a3d2b2b8b_c66d2ff098b4;skype;0;c253ec3ad88e42f8da4032682892f9a0;t120100_0004_bc98f8e001b5;tests/iscx-vpn-novpn-2016/skype_chat1b-extracted.csv;0
131.202.240.87;91.190.218.17;11369;443;api.skype.com;Skype Noc, SKYPE-DU5 (ie);feb5fef784808df9ee29e72563146ff5;t12d260700_e99a3d2b2b8b_c66d2ff098b4;skype;0;c253ec3ad88e42f8da4032682892f9a0;t120100_0004_bc98f8e001b5;tests/iscx-vpn-novpn-2016/skype_chat1b-extracted.csv;0
131.202.240.87;74.125.71.120;65083;443;csi.gstatic.com;Google LLC, GOOGLE;986d7b8e0e7a7b5eebf84b898f99aad7;t12d2112h1_f51103c65f73_376797587902;hangout;A;06d4992ac92521e6b1a490abcae59100;t1203h4_cc14_180400b49650;tests/iscx-vpn-novpn-2016/hangouts_chat_4a-extracted.csv;0
131.202.240.87;74.125.228.229;65093;443;tools.google.com;Google LLC, GOOGLE;9ebde3c14286077a87a6fea2f2b7a93e;t12d240700_9295eb73ea51_c66d2ff098b4;hangout;0;02c6fa58c2d021dc9448b91569b5abcf;t120400_c02b_bec8bdbaef8a;tests/iscx-vpn-novpn-2016/hangouts_chat_4a-extracted.csv;0
131.202.240.87;74.125.228.224;65087;443;safebrowsing.google.com;Google LLC, GOOGLE;986d7b8e0e7a7b5eebf84b898f99aad7;t12d2112h1_f51103c65f73_376797587902;hangout;0;06d4992ac92521e6b1a490abcae59100;t1203h4_cc14_180400b49650;tests/iscx-vpn-novpn-2016/hangouts_chat_4a-extracted.csv;0
131.202.240.87;74.125.226.89;11507;443;pagead2.googlesyndication.com;Google LLC, GOOGLE;feb5fef784808df9ee29e72563146ff5;t12d260700_e99a3d2b2b8b_c66d2ff098b4;skype;A;5cbdf35d43faf9cfc331165209343f05;t120100_c02b_bc98f8e001b5;tests/iscx-vpn-novpn-2016/skype_chat1b-extracted.csv;0
131.202.240.87;74.125.226.89;11503;443;pagead2.googlesyndication.com;Google LLC, GOOGLE;feb5fef784808df9ee29e72563146ff5;t12d260700_e99a3d2b2b8b_c66d2ff098b4;skype;A;5cbdf35d43faf9cfc331165209343f05;t120100_c02b_bc98f8e001b5;tests/iscx-vpn-novpn-2016/skype_chat1b-extracted.csv;0
131.202.240.87;74.125.226.57;11357;443;pagead2.googlesyndication.com;Google LLC, GOOGLE;feb5fef784808df9ee29e72563146ff5;t12d260700_e99a3d2b2b8b_c66d2ff098b4;skype;A;5cbdf35d43faf9cfc331165209343f05;t120100_c02b_bc98f8e001b5;tests/iscx-vpn-novpn-2016/skype_chat1b-extracted.csv;0
131.202.240.87;74.125.226.57;11301;443;pagead2.googlesyndication.com;Google LLC, GOOGLE;feb5fef784808df9ee29e72563146ff5;t12d260700_e99a3d2b2b8b_c66d2ff098b4;skype;A;02c6fa58c2d021dc9448b91569b5abcf;t120400_c02b_bec8bdbaef8a;tests/iscx-vpn-novpn-2016/skype_chat1b-extracted.csv;0
131.202.240.87;74.125.226.27;11489;443;ad.doubleclick.net;Google LLC, GOOGLE;feb5fef784808df9ee29e72563146ff5;t12d260700_e99a3d2b2b8b_c66d2ff098b4;skype;A;d7a9785fd65195c3ee2c6c43207af3fb;t120400_c013_bec8bdbaef8a;tests/iscx-vpn-novpn-2016/skype_chat1b-extracted.csv;0
